geo,name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,46,43.7,38.6,35.9,34.2,31.6,28.3,25.1,21.6,19.4,18.3,19.5,19.4,19.3,20,20.5,21.4,22.6,25.1,27.7,29.4,30.4
ago,Angola,67.4,63.1,58.7,55.1,52.2,49.4,46.4,43.3,32.6,22.8,14.7,13.8,13.2,13,14,14.9,15.2,15.7,18,20.5,22.1,23.2
alb,Albania,4.9,6,7.4,8.6,8.9,8.9,8.4,7.4,6.2,5.4,4.8,4.5,4.4,4.5,4.4,4.3,4.3,4.2,4.3,4.4,4.3,4.5
are,UAE,3.3,4.1,5.3,6.8,7.8,8.1,8.1,7.5,7.8,7.1,6.5,5.1,4.6,4.5,4.6,4.4,4.2,3.6,3.3,3.1,3.4,2.7
arg,Argentina,2.9,3.7,4.3,3.9,3.6,3.3,3.2,3.2,3.4,3.6,3.6,3.4,3.1,2.8,2.8,3,3.4,3.5,3.5,3.4,3.3,3.2
arm,Armenia,25.9,24.3,21,16,12.4,9.5,7.2,5.9,3.9,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
aus,Australia,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
aut,Austria,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
aze,Azerbaijan,16.9,13.4,10.4,7.4,4.7,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
bel,Belgium,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
ben,Benin,17.2,15.5,13.7,12.8,11.4,11.1,10.8,10.4,10.2,9.8,9.6,9.5,9.3,9.3,9.2,9.7,10.6,11.4,11.5,10.8,10.4,10.3
bfa,Burkina Faso,22.7,20.7,18.8,17.7,17.3,16.8,16.2,15.7,15.2,15.1,14.5,14,13.5,13.4,13.5,13.9,14,14.5,14.4,15.1,15.1,15.4
bgd,Bangladesh,15.5,14.7,14.4,13.8,13.7,13.2,13.3,12.9,14.5,15.2,16.1,15.9,15.6,14.9,14.9,14.4,13.7,12.8,11.9,12.1,11.8,11.9
bgr,Bulgaria,4.2,4.4,4.7,5.1,5,5.2,4.8,4.6,4.6,4.8,5.1,4.6,4.1,4.1,4,4.1,3.4,3,3,2.9,2.5,2.5
bih,Bosnia and Herzegovina,3.5,3.3,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
blr,Belarus,2.5,2.8,3.3,3.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
blz,Belize,5.8,5.3,5.2,5.1,5.2,5.2,5.9,6.3,5.9,5.4,4.9,5.3,5.8,6.1,6.3,6,5.6,4.9,4.5,4.4,4.3,4.6
bol,Bolivia,26.4,25.6,26.5,27.1,27.5,25.9,24.4,22.9,21.4,20.1,19.2,18.6,18.6,17.8,16.8,15.6,14.9,14.5,14.5,16.9,20.3,23
bra,Brazil,10.4,9,7.6,6.6,6.2,5.9,5.4,4.9,4.1,3.5,3,2.8,2.6,2.5,2.5,2.5,2.5,2.5,2.5,3.4,4.2,3.9
brb,Barbados,5.9,5.7,6.1,5.7,5.7,4.9,4.9,4.6,3.8,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.9,3.5,3.9,3.5
bwa,Botswana,23.7,24.1,24.7,23.9,22.9,22.7,22.5,22.3,22.3,22,21.8,21.2,20.8,20,20.3,20.9,22,22,22.7,22.9,24.2,24.3
caf,Central African Republic,38.2,39.2,39.7,39.6,38.7,36.8,34.7,32.3,27.9,24.7,21.8,23.7,25,25.7,24,22.6,21.7,21.4,21.4,21.8,22.7,23.5
can,Canada,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
che,Switzerland,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
chl,Chile,3.2,3.1,3,3.1,3,3,3,3.3,3.6,3.7,3.8,3.5,3.4,3.3,3.3,3.2,3.1,3,2.7,2.5,2.5,2.5
chn,China,10.3,9.7,8.9,8.1,7.2,6.2,5.1,4,2.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
civ,Cote d'Ivoire,20.2,20.9,20.7,20,19.3,18.9,18.5,18.1,17.6,16.6,15.6,14.6,14.6,13.9,13.2,11.9,11,10.2,9.5,8.8,9.1,9.6
cmr,Cameroon,22.6,20.4,19.1,17.4,15.7,14,12.4,11.1,8.3,6.2,4.3,4.1,4.2,4.4,4.8,5.3,5.9,6.2,6.1,5.9,5.8,5.7
cod,"Congo, Dem. Rep.",30.4,30.9,30.9,31.8,31.7,31.7,30.9,30.9,30.4,29.6,29.5,30.3,30.6,30.9,31.5,32.1,32.4,32.3,33.8,35,35.7,37
cog,"Congo, Rep.",26.9,26.4,26.5,27.8,29.1,31.1,33.2,35.6,38.1,40.5,40.3,37.2,32.5,29.5,29.3,29.5,30.2,29.8,29.1,27.8,27.1,26.8
col,Colombia,8.6,8.9,9.6,10.4,11.1,11.3,10.9,11.1,11.2,11.3,10.1,8.7,7.2,5.9,5.1,4.6,4.3,4.3,4.3,4.4,4.2,4.2
com,Comoros,24.9,20.9,18,16.6,16.6,17.4,18.6,19.9,18.7,17.3,15.7,15.4,14.8,14.4,13.9,13.5,13.1,13.1,13.4,13.9,15.7,16.9
cpv,Cape Verde,14.9,14.9,13.5,11.6,11.1,11.5,12.4,13.3,14,14.1,13.9,14.4,15.2,16.3,16.8,16.7,15.9,15.2,14,13.2,12.6,12.6
cri,Costa Rica,4.3,4.4,4.4,4,3.4,2.9,2.7,2.7,2.8,3,3.2,3.1,2.9,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
cub,Cuba,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
cyp,Cyprus,5.8,6.3,6.8,7.6,8.4,8.4,7.8,7.4,5.5,3.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
cze,Czech Republic,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
deu,Germany,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
dji,Djibouti,41.9,40.5,37.8,34,30.1,25.7,23.2,21.2,20.8,19.9,19,17.5,16,14.3,13.2,12.8,12.7,12.2,11.9,11.9,12.3,12.9
dma,Dominica,2.5,2.5,2.5,2.5,2.7,2.5,2.5,2.5,2.8,3.8,4.8,5.6,6.1,6.4,7,8,9.4,10.1,11.9,13.4,14,13.4
dnk,Denmark,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
dom,Dominican Republic,20.5,22.7,23.7,23.2,19.3,16.5,16.4,16.2,15.5,13.5,11.7,10.4,9.2,8.4,7.4,6.7,6,5.8,6.3,6.2,5.8,4.6
dza,Algeria,7.5,6.8,6.5,6.5,6.2,6,5.5,5.2,4.8,4.1,3.6,3.1,2.9,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5
ecu,Ecuador,20.1,21.9,21.9,21.8,21.5,21.9,21.2,20.3,15.2,11.5,7.7,8.1,8.2,8.2,8.5,9.1,10.1,11.1,12.6,13.6,14,13.9
egy,Egypt,4.8,5,5.5,5.8,5.9,5.5,5.2,5.1,5,5.2,5.3,5.5,5.8,6,6.3,6.5,6.9,6.8,6.7,6.9,7.6,8.5
esp,Spain,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
est,Estonia,3.6,3.5,3.4,2.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
eth,Ethiopia,46.6,43.7,42.2,39.7,37,33.3,29.9,26.8,23.9,21.9,20.3,18.8,17.2,15.5,14.4,14,15.4,17.9,20.9,23,23.5,22.2
fin,Finland,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
fji,Fiji,4,3.8,3.7,3.7,3.5,3.5,3.6,3.7,5,6.1,7.3,7.2,7.1,6.9,7.1,7.5,7.2,6.3,5.5,6.2,6.9,7.8
fra,France,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
gab,Gabon,10.8,12.1,13.3,14.1,14.6,14.8,14.8,14.7,14.6,14.1,13.5,13.1,13.1,13.3,14.1,15.3,16.5,17.6,18.8,19.7,20.1,20.1
gbr,UK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
geo,Georgia,7.3,5.7,4.6,3.9,4,4,4,3.6,5.1,6.8,8.3,7.9,7.5,6.7,6.6,6.7,6.6,5.5,5.4,5.2,5.2,4
gha,Ghana,14.9,13.5,12.6,12.1,11.1,10.4,9.2,8.1,6.9,7,7.4,7.9,8.2,8.9,9.7,9.8,9,7.8,6.9,6,5.9,6.2
gin,Guinea,17.9,17.7,16.8,16.3,16.3,16.8,17.2,17.7,18.1,17.4,16.2,14.5,13.3,12.8,12.8,13.2,13.2,12.6,11.7,10.4,9.9,10.3
gmb,Gambia,17.9,19.7,20.4,19.4,17.6,15.2,13.1,11.3,9.7,8.9,8.8,9.5,10.4,11.2,11.9,12.1,13.4,14.2,15.9,17.1,19.3,20.5
gnb,Guinea-Bissau,15.7,16,16.3,16.5,16.4,16.2,16.1,16.1,18.3,21,23.5,25,26.7,28.7,30,28.3,27.9,28,30.7,31.7,32.4,32.2
grc,Greece,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
gtm,Guatemala,22.5,20.2,19.3,19.5,19.3,18.2,18.6,18.1,17.4,15.7,15.2,15.6,16.1,16.1,15.6,14.8,14.4,14.1,14.1,13.6,13.2,12.6
guy,Guyana,6,5.9,6.2,6.4,6.6,6.6,7,7,8.1,8.7,8.8,8,6.9,5.7,4.4,3.5,3.1,3,2.8,2.6,2.5,2.5
hnd,Honduras,21.2,20.5,20.9,21.4,21.5,21,20.2,20,17.9,15.9,13.8,13.9,14.6,15,15,14.4,13.9,13.7,14,15.8,18.4,20.4
hrv,Croatia,7,4.7,3.7,3.1,2.5,2.5,2.5,2.5,2.5,2.5,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
hti,Haiti,48.1,50.2,50.8,51.7,50.8,49.7,47.8,46.1,43.2,41.1,40.2,40.3,39.4,38.2,38.3,39.1,40.6,41.6,43.6,45.1,48.2,50.4
hun,Hungary,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
idn,Indonesia,18.2,18.2,18,18.2,18.4,18.2,17.6,16.5,15.1,13.1,11.3,9.8,8.5,8,7.3,6.7,6,5.9,6.2,6.3,6.8,7.2
ind,India,18.3,19.9,21.5,22,21.4,19.2,16.8,15.6,15.3,14.8,14.3,13.5,12.9,12.6,12.2,11.5,10.5,10.3,11.6,13.1,14,13.7
irl,Ireland,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
irn,Iran,4.9,5.2,5.2,5.1,5.4,5.8,6.1,5.8,6.4,7.5,8.1,7.8,6.8,6.7,6.7,7.2,7.6,7.6,7.3,6.5,6.5,6.5
irq,Iraq,20.1,19.6,18.5,17.8,16.5,16.5,16.4,15.6,14.7,13.7,14.2,14.8,15.4,15.8,16.3,16.6,16.6,16.4,16.1,15.8,16,16.1
isl,Iceland,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
isr,Israel,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
ita,Italy,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
jam,Jamaica,7.2,6.8,7,7.2,7.5,7.7,8.4,9,9,8.5,8,7.7,7.8,7.5,7.9,7.6,7.2,6.2,6.7,7,7.6,7.3
jor,Jordan,8.9,7,5.9,5.3,5.2,5.5,5.9,6.4,6.3,6.2,6.1,6.3,6.3,6.5,7,7.8,9.1,10.7,13.1,15.8,17.3,17.9
jpn,Japan,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3.2,2.9,2.6,2.5,2.5,2.7,2.7,2.7,2.6,2.8,2.9,3.2,3.4
kaz,Kazakhstan,6.5,6.6,7.1,7.4,7.3,6.3,5.1,4.3,3.8,3.2,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
ken,Kenya,31.9,33.4,34.7,31.8,28.2,26,26.9,26.9,24.4,21.7,19.8,18.9,18.7,18.8,20.5,21.8,23.2,22.6,23.4,26,31.1,34.5
kgz,Kyrgyz Republic,14.6,12.5,10.2,8.2,8.1,8.6,9.2,8.5,8.2,7.4,6.9,6.2,6,5.8,5.9,5.7,5.3,4.7,4.6,5.1,5.5,6.1
khm,Cambodia,24.1,21.7,20,19.3,18,16.5,15,13.5,12.3,10.7,9.7,8.9,8.7,8.1,7.5,7,6.2,5.1,4.6,4.9,5,4.6
kir,Kiribati,5.5,5.6,6,6,6.2,6.5,7.1,7.3,6.4,5.1,3.9,3.6,3.3,3.1,2.9,2.9,3,3.2,3.5,3.8,3.8,3.7
kor,South Korea,2.5,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
